Site,Date,Duration,Code,Monitored,Comment
0642-01D,2013-05-01,,,,
0642-01D,2013-05-02,,,,
0642-01D,2013-05-03,,,,
0642-01D,2013-05-04,,,,
0642-01D,2013-05-05,,,,
0642-01D,2013-05-06,,,,
0642-01D,2013-05-07,,,,
0642-01D,2013-05-08,,,,
0642-01D,2013-05-09,,,,
0642-01D,2013-05-10,,,,
0642-01D,2013-05-11,,,,
0642-01D,2013-05-12,,,,
0642-01D,2013-05-13,,,,
0642-01D,2013-05-14,,,,
0642-01D,2013-05-15,,,,
0642-01D,2013-05-16,,,,
0642-01D,2013-05-17,,,,
0642-01D,2013-05-18,,,,
0642-01D,2013-05-19,,,,
0642-01D,2013-05-20,,,,
0642-01D,2013-05-21,,,,
0642-01D,2013-05-22,,,,
0642-01D,2013-05-23,,,,
0642-01D,2013-05-24,,,,
0642-01D,2013-05-25,,,,
0642-01D,2013-05-26,,,,
0642-01D,2013-05-27,,,,
0642-01D,2013-05-28,,,,
0642-01D,2013-05-29,,,,
0642-01D,2013-05-30,,,,
0642-01D,2013-05-31,,,,
0672-01D,2013-05-01,,,,
0672-01D,2013-05-02,,,,
0672-01D,2013-05-03,,,,
0672-01D,2013-05-04,,,,
0672-01D,2013-05-05,,,,
0672-01D,2013-05-06,,,,
0672-01D,2013-05-07,,,,
0672-01D,2013-05-08,,,,
0672-01D,2013-05-09,,,,
0672-01D,2013-05-10,,,,
0672-01D,2013-05-11,,,,
0672-01D,2013-05-12,,,,
0672-01D,2013-05-13,,,,
0672-01D,2013-05-14,,,,
0672-01D,2013-05-15,,,,
0672-01D,2013-05-16,,,,
0672-01D,2013-05-17,,,,
0672-01D,2013-05-18,,,,
0672-01D,2013-05-19,,,,
0672-01D,2013-05-20,,,,
0672-01D,2013-05-21,,,,
0672-01D,2013-05-22,,,,
0672-01D,2013-05-23,,,,
0672-01D,2013-05-24,,,,
0672-01D,2013-05-25,,,,
0672-01D,2013-05-26,,,,
0672-01D,2013-05-27,,,,
0672-01D,2013-05-28,,,,
0672-01D,2013-05-29,,,,
0672-01D,2013-05-30,,,,
0672-01D,2013-05-31,,,,
0672-02D,2013-05-01,0.0,,,
0672-02D,2013-05-02,0.0,,,
0672-02D,2013-05-03,0.0,,,
0672-02D,2013-05-04,0.0,,,
0672-02D,2013-05-05,0.0,,,
0672-02D,2013-05-06,0.0,,,
0672-02D,2013-05-07,0.0,,,
0672-02D,2013-05-08,0.0,,,
0672-02D,2013-05-09,0.0,,,
0672-02D,2013-05-10,0.0,,,
0672-02D,2013-05-11,0.0,,,
0672-02D,2013-05-12,0.0,,,
0672-02D,2013-05-13,0.0,,,
0672-02D,2013-05-14,0.0,,,
0672-02D,2013-05-15,0.0,,,
0672-02D,2013-05-16,0.0,,,
0672-02D,2013-05-17,0.0,,,
0672-02D,2013-05-18,0.0,,,
0672-02D,2013-05-19,0.0,,,
0672-02D,2013-05-20,0.0,,,
0672-02D,2013-05-21,0.0,,,
0672-02D,2013-05-22,0.0,,,
0672-02D,2013-05-23,200.0,P,,
0672-02D,2013-05-24,0.0,,,
0672-02D,2013-05-25,0.0,,,
0672-02D,2013-05-26,0.0,,,
0672-02D,2013-05-27,0.0,,,
0672-02D,2013-05-28,0.0,,,
0672-02D,2013-05-29,90.0,P,,
0672-02D,2013-05-30,0.0,,,
0672-02D,2013-05-31,0.0,,,
0672-03D,2013-05-01,,,,
0672-03D,2013-05-02,,,,
0672-03D,2013-05-03,,,,
0672-03D,2013-05-04,,,,
0672-03D,2013-05-05,,,,
0672-03D,2013-05-06,,,,
0672-03D,2013-05-07,,,,
0672-03D,2013-05-08,,,,
0672-03D,2013-05-09,,,,
0672-03D,2013-05-10,,,,
0672-03D,2013-05-11,,,,
0672-03D,2013-05-12,,,,
0672-03D,2013-05-13,,,,
0672-03D,2013-05-14,,,,
0672-03D,2013-05-15,,,,
0672-03D,2013-05-16,,,,
0672-03D,2013-05-17,,,,
0672-03D,2013-05-18,,,,
0672-03D,2013-05-19,,,,
0672-03D,2013-05-20,,,,
0672-03D,2013-05-21,,,,
0672-03D,2013-05-22,,,,
0672-03D,2013-05-23,,,,
0672-03D,2013-05-24,,,,
0672-03D,2013-05-25,,,,
0672-03D,2013-05-26,,,,
0672-03D,2013-05-27,,,,
0672-03D,2013-05-28,,,,
0672-03D,2013-05-29,,,,
0672-03D,2013-05-30,,,,
0672-03D,2013-05-31,,,,
0801-01D,2013-05-01,,,,
0801-01D,2013-05-02,,,,
0801-01D,2013-05-03,,,,
0801-01D,2013-05-04,,,,
0801-01D,2013-05-05,,,,
0801-01D,2013-05-06,,,,
0801-01D,2013-05-07,,,,
0801-01D,2013-05-08,,,,
0801-01D,2013-05-09,,,,
0801-01D,2013-05-10,,,,
0801-01D,2013-05-11,,,,
0801-01D,2013-05-12,,,,
0801-01D,2013-05-13,,,,
0801-01D,2013-05-14,,,,
0801-01D,2013-05-15,,,,
0801-01D,2013-05-16,,,,
0801-01D,2013-05-17,,,,
0801-01D,2013-05-18,,,,
0801-01D,2013-05-19,,,,
0801-01D,2013-05-20,,,,
0801-01D,2013-05-21,,,,
0801-01D,2013-05-22,,,,
0801-01D,2013-05-23,,,,
0801-01D,2013-05-24,,,,
0801-01D,2013-05-25,,,,
0801-01D,2013-05-26,,,,
0801-01D,2013-05-27,,,,
0801-01D,2013-05-28,,,,
0801-01D,2013-05-29,,,,
0801-01D,2013-05-30,,,,
0801-01D,2013-05-31,,,,
0801-02D,2013-05-01,,,,
0801-02D,2013-05-02,,,,
0801-02D,2013-05-03,,,,
0801-02D,2013-05-04,,,,
0801-02D,2013-05-05,,,,
0801-02D,2013-05-06,,,,
0801-02D,2013-05-07,,,,
0801-02D,2013-05-08,,,,
0801-02D,2013-05-09,,,,
0801-02D,2013-05-10,,,,
0801-02D,2013-05-11,,,,
0801-02D,2013-05-12,,,,
0801-02D,2013-05-13,,,,
0801-02D,2013-05-14,,,,
0801-02D,2013-05-15,,,,
0801-02D,2013-05-16,,,,
0801-02D,2013-05-17,,,,
0801-02D,2013-05-18,,,,
0801-02D,2013-05-19,,,,
0801-02D,2013-05-20,,,,
0801-02D,2013-05-21,,,,
0801-02D,2013-05-22,,,,
0801-02D,2013-05-23,,,,
0801-02D,2013-05-24,,,,
0801-02D,2013-05-25,,,,
0801-02D,2013-05-26,,,,
0801-02D,2013-05-27,,,,
0801-02D,2013-05-28,,,,
0801-02D,2013-05-29,,,,
0801-02D,2013-05-30,,,,
0801-02D,2013-05-31,,,,
0801-03D,2013-05-01,,,,
0801-03D,2013-05-02,,,,
0801-03D,2013-05-03,,,,
0801-03D,2013-05-04,,,,
0801-03D,2013-05-05,,,,
0801-03D,2013-05-06,,,,
0801-03D,2013-05-07,,,,
0801-03D,2013-05-08,,,,
0801-03D,2013-05-09,,,,
0801-03D,2013-05-10,,,,
0801-03D,2013-05-11,,,,
0801-03D,2013-05-12,,,,
0801-03D,2013-05-13,,,,
0801-03D,2013-05-14,,,,
0801-03D,2013-05-15,,,,
0801-03D,2013-05-16,,,,
0801-03D,2013-05-17,,,,
0801-03D,2013-05-18,,,,
0801-03D,2013-05-19,,,,
0801-03D,2013-05-20,,,,
0801-03D,2013-05-21,,,,
0801-03D,2013-05-22,,,,
0801-03D,2013-05-23,,,,
0801-03D,2013-05-24,,,,
0801-03D,2013-05-25,,,,
0801-03D,2013-05-26,,,,
0801-03D,2013-05-27,,,,
0801-03D,2013-05-28,,,,
0801-03D,2013-05-29,,,,
0801-03D,2013-05-30,,,,
0801-03D,2013-05-31,,,,
0801-04D,2013-05-01,,,,
0801-04D,2013-05-02,,,,
0801-04D,2013-05-03,,,,
0801-04D,2013-05-04,,,,
0801-04D,2013-05-05,,,,
0801-04D,2013-05-06,,,,
0801-04D,2013-05-07,,,,
0801-04D,2013-05-08,,,,
0801-04D,2013-05-09,,,,
0801-04D,2013-05-10,,,,
0801-04D,2013-05-11,,,,
0801-04D,2013-05-12,,,,
0801-04D,2013-05-13,,,,
0801-04D,2013-05-14,,,,
0801-04D,2013-05-15,,,,
0801-04D,2013-05-16,,,,
0801-04D,2013-05-17,,,,
0801-04D,2013-05-18,,,,
0801-04D,2013-05-19,,,,
0801-04D,2013-05-20,,,,
0801-04D,2013-05-21,,,,
0801-04D,2013-05-22,,,,
0801-04D,2013-05-23,,,,
0801-04D,2013-05-24,,,,
0801-04D,2013-05-25,,,,
0801-04D,2013-05-26,,,,
0801-04D,2013-05-27,,,,
0801-04D,2013-05-28,,,,
0801-04D,2013-05-29,,,,
0801-04D,2013-05-30,,,,
0801-04D,2013-05-31,,,,
0801-05D,2013-05-01,0.0,,,
0801-05D,2013-05-02,0.0,,,
0801-05D,2013-05-03,371.0,TS,,
0801-05D,2013-05-04,0.0,,,
0801-05D,2013-05-05,0.0,,,
0801-05D,2013-05-06,48.0,TS,,
0801-05D,2013-05-07,0.0,,,
0801-05D,2013-05-08,0.0,,,
0801-05D,2013-05-09,0.0,,,
0801-05D,2013-05-10,0.0,,,
0801-05D,2013-05-11,13.0,P,,
0801-05D,2013-05-12,0.0,,,
0801-05D,2013-05-13,0.0,,,
0801-05D,2013-05-14,0.0,,,
0801-05D,2013-05-15,0.0,,,
0801-05D,2013-05-16,13.0,TS,,
0801-05D,2013-05-17,0.0,,,
0801-05D,2013-05-18,0.0,,,
0801-05D,2013-05-19,0.0,,,
0801-05D,2013-05-20,0.0,,,
0801-05D,2013-05-21,0.0,,,
0801-05D,2013-05-22,0.0,,,
0801-05D,2013-05-23,273.0,P,,
0801-05D,2013-05-24,105.0,P,,
0801-05D,2013-05-25,14.0,P,,
0801-05D,2013-05-26,0.0,,,
0801-05D,2013-05-27,0.0,,,
0801-05D,2013-05-28,24.0,TS,,
0801-05D,2013-05-29,31.0,TS,,
0801-05D,2013-05-30,90.0,TS,,
0801-05D,2013-05-31,202.0,TS,,
0801-06D,2013-05-01,,,,
0801-06D,2013-05-02,,,,
0801-06D,2013-05-03,,,,
0801-06D,2013-05-04,,,,
0801-06D,2013-05-05,,,,
0801-06D,2013-05-06,,,,
0801-06D,2013-05-07,,,,
0801-06D,2013-05-08,,,,
0801-06D,2013-05-09,,,,
0801-06D,2013-05-10,,,,
0801-06D,2013-05-11,,,,
0801-06D,2013-05-12,,,,
0801-06D,2013-05-13,,,,
0801-06D,2013-05-14,,,,
0801-06D,2013-05-15,,,,
0801-06D,2013-05-16,,,,
0801-06D,2013-05-17,,,,
0801-06D,2013-05-18,,,,
0801-06D,2013-05-19,,,,
0801-06D,2013-05-20,,,,
0801-06D,2013-05-21,,,,
0801-06D,2013-05-22,,,,
0801-06D,2013-05-23,,,,
0801-06D,2013-05-24,,,,
0801-06D,2013-05-25,,,,
0801-06D,2013-05-26,,,,
0801-06D,2013-05-27,,,,
0801-06D,2013-05-28,,,,
0801-06D,2013-05-29,,,,
0801-06D,2013-05-30,,,,
0801-06D,2013-05-31,,,,
0801-07D,2013-05-01,,,,
0801-07D,2013-05-02,,,,
0801-07D,2013-05-03,,,,
0801-07D,2013-05-04,,,,
0801-07D,2013-05-05,,,,
0801-07D,2013-05-06,,,,
0801-07D,2013-05-07,,,,
0801-07D,2013-05-08,,,,
0801-07D,2013-05-09,,,,
0801-07D,2013-05-10,,,,
0801-07D,2013-05-11,,,,
0801-07D,2013-05-12,,,,
0801-07D,2013-05-13,,,,
0801-07D,2013-05-14,,,,
0801-07D,2013-05-15,,,,
0801-07D,2013-05-16,,,,
0801-07D,2013-05-17,,,,
0801-07D,2013-05-18,,,,
0801-07D,2013-05-19,,,,
0801-07D,2013-05-20,,,,
0801-07D,2013-05-21,,,,
0801-07D,2013-05-22,,,,
0801-07D,2013-05-23,,,,
0801-07D,2013-05-24,,,,
0801-07D,2013-05-25,,,,
0801-07D,2013-05-26,,,,
0801-07D,2013-05-27,,,,
0801-07D,2013-05-28,,,,
0801-07D,2013-05-29,,,,
0801-07D,2013-05-30,,,,
0801-07D,2013-05-31,,,,
0801-08D,2013-05-01,,,,
0801-08D,2013-05-02,,,,
0801-08D,2013-05-03,,,,
0801-08D,2013-05-04,,,,
0801-08D,2013-05-05,,,,
0801-08D,2013-05-06,,,,
0801-08D,2013-05-07,,,,
0801-08D,2013-05-08,,,,
0801-08D,2013-05-09,,,,
0801-08D,2013-05-10,,,,
0801-08D,2013-05-11,,,,
0801-08D,2013-05-12,,,,
0801-08D,2013-05-13,,,,
0801-08D,2013-05-14,,,,
0801-08D,2013-05-15,,,,
0801-08D,2013-05-16,,,,
0801-08D,2013-05-17,,,,
0801-08D,2013-05-18,,,,
0801-08D,2013-05-19,,,,
0801-08D,2013-05-20,,,,
0801-08D,2013-05-21,,,,
0801-08D,2013-05-22,,,,
0801-08D,2013-05-23,,,,
0801-08D,2013-05-24,,,,
0801-08D,2013-05-25,,,,
0801-08D,2013-05-26,,,,
0801-08D,2013-05-27,,,,
0801-08D,2013-05-28,,,,
0801-08D,2013-05-29,,,,
0801-08D,2013-05-30,,,,
0801-08D,2013-05-31,,,,
0801-09D,2013-05-01,0.0,,,
0801-09D,2013-05-02,0.0,,,
0801-09D,2013-05-03,0.0,,,
0801-09D,2013-05-04,0.0,,,
0801-09D,2013-05-05,0.0,,,
0801-09D,2013-05-06,0.0,,,
0801-09D,2013-05-07,0.0,,,
0801-09D,2013-05-08,0.0,,,
0801-09D,2013-05-09,0.0,,,
0801-09D,2013-05-10,0.0,,,
0801-09D,2013-05-11,0.0,,,
0801-09D,2013-05-12,0.0,,,
0801-09D,2013-05-13,0.0,,,
0801-09D,2013-05-14,0.0,,,
0801-09D,2013-05-15,0.0,,,
0801-09D,2013-05-16,0.0,,,
0801-09D,2013-05-17,0.0,,,
0801-09D,2013-05-18,0.0,,,
0801-09D,2013-05-19,0.0,,,
0801-09D,2013-05-20,0.0,,,
0801-09D,2013-05-21,0.0,,,
0801-09D,2013-05-22,0.0,,,
0801-09D,2013-05-23,40.0,P,,
0801-09D,2013-05-24,0.0,,,
0801-09D,2013-05-25,0.0,,,
0801-09D,2013-05-26,0.0,,,
0801-09D,2013-05-27,0.0,,,
0801-09D,2013-05-28,0.0,,,
0801-09D,2013-05-29,13.0,P,,
0801-09D,2013-05-30,0.0,,,
0801-09D,2013-05-31,0.0,,,
3230-01D,2013-05-01,,,,
3230-01D,2013-05-02,,,,
3230-01D,2013-05-03,,,,
3230-01D,2013-05-04,,,,
3230-01D,2013-05-05,,,,
3230-01D,2013-05-06,,,,
3230-01D,2013-05-07,,,,
3230-01D,2013-05-08,,,,
3230-01D,2013-05-09,,,,
3230-01D,2013-05-10,,,,
3230-01D,2013-05-11,,,,
3230-01D,2013-05-12,,,,
3230-01D,2013-05-13,,,,
3230-01D,2013-05-14,,,,
3230-01D,2013-05-15,,,,
3230-01D,2013-05-16,,,,
3230-01D,2013-05-17,,,,
3230-01D,2013-05-18,,,,
3230-01D,2013-05-19,,,,
3230-01D,2013-05-20,,,,
