"","lon","lat","x"
"1",-61.97,45.63,3.93910543231823
"2",-65.63,44.57,3.96214083297227
"3",-63.72,44.9,4.21416927996285
"4",-65.3,44.83,3.82417090161238
"5",-65.78,43.58,4.54202511335876
"6",-65.17,44.92,3.68942845865737
"7",-62.02,45.48,4.15189420909657
"8",-61.5,45.35,4.68085408330547
"9",-64.92,44.98,3.66678505971565
"10",-63.58,44.65,4.65337827508287
"11",-63.6,44.65,4.65337827508287
"12",-63.83,45.58,4.27125025934487
"13",-65.77,44.08,4.43242890444468
"14",-63.48,44.72,4.78876778042348
"15",-64.93,44.13,4.26691871226872
"16",-64.77,44.08,4.50373507137792
"17",-63.1,45.07,4.39523192420512
"18",-63.83,44.9,4.26458354631857
"19",-64.25,45.77,3.63709639571307
"20",-63.87,45.73,3.702042572891
"21",-65.23,44.83,3.82417090161238
"22",-64.33,45.4,4.11447146925971
"23",-62.68,45.7,3.58195296272465
"24",-63.83,44.77,4.50725978028676
"25",-63.66,45.84,3.66399498654637
"26",-63.9,44.7,4.59965923086583
"27",-62.65,45.57,3.91242579791278
"28",-63.23,45.68,4.1066375911386
"29",-62.67,45.28,4.27534994372481
"30",-65.98,43.88,4.46264020144244
"31",-63,45.22,4.21895015557193
"32",-64.65,45.05,3.67458200236068
"33",-64.66,43.99,4.48956781888963
"34",-63.52,44.68,4.62980484480753
"35",-64.1,44.98,3.85866156034721
"36",-64.37,45.1,3.59876195914431
"37",-66.09,43.83,4.4026751430971
"38",-60.75,46.1,4.9275739714947
"39",-60.53,46.37,4.4107818125378
"40",-60,45.9,4.36582217329604
"41",-61.53,45.98,3.90538824864104
"42",-60.05,46.17,3.90828470924592
